game_n,winner,turn_outcome
0,1,"(1, 1, 0, 1, 2, 2, 1, 2, 2, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 2, 2, 1, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 2, 0, 0, 0, 0, 1, 2, 2, 2, 1)"
1,1,"(1, 1, 2, 2, 0, 2, 0, 2, 1, 2, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 2, 1, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 0, 0, 2, 2, 0, 1)"
2,1,"(1, 1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 2, 0, 2, 0, 2, 1, 1, 2, 0, 1, 2, 2, 1, 2, 0, 0, 0, 2, 1, 0, 2, 1, 0, 0, 1, 2, 1, 0, 1, 0, 1, 0, 1)"
3,3,"(1, 1, 0, 1, 1, 1, 0, 2, 0, 1, 2, 0, 1, 2, 2, 1, 0, 2, 0, 0, 2, 2, 1, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 2, 0, 1, 2, 0, 2, 1, 2, 2, 0, 2, 2, 0, 2, 0, 0, 2, 0, 0, 2, 0, 2, 1, 2, 2, 2, 2, 0, 2, 1)"
4,1,"(1, 1, 1, 0, 2, 1, 2, 0, 0, 0, 1, 0, 2, 0, 1, 2, 2, 1, 2, 2, 0, 1, 2, 1, 2, 1, 2, 0, 0, 2, 2, 0, 0, 0, 2, 0, 1, 1, 2, 2, 1, 2, 2, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1)"
5,0,"(1, 1, 0, 1, 1, 0, 0, 0, 2, 0, 1, 2, 1, 0, 0, 2, 1, 2, 2, 0, 0, 1, 2, 2, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 2, 1, 0, 2, 1)"
6,2,"(1, 1, 1, 1, 0, 1, 1, 2, 0, 2, 2, 2, 2, 0, 0, 0, 2, 2, 1, 0, 2, 0, 0, 2, 2, 2, 0, 1, 0, 0, 2, 2, 2, 0, 1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 2, 2, 1, 1, 2, 0, 2, 1, 1, 2, 0, 0, 2, 1)"
7,0,"(1, 0, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 0, 1, 2, 2, 2, 2, 0, 2, 1, 1, 1, 2, 0, 1, 0, 0, 2, 1, 0, 0, 2, 2, 0, 0, 1, 1, 1, 0, 0, 2, 2, 2, 1)"
8,3,"(1, 1, 1, 1, 2, 0, 2, 2, 2, 1, 1, 0, 2, 1, 1, 0, 1, 2, 0, 2, 0, 1, 2, 0, 2, 2, 0, 1, 0, 1, 2, 1, 1, 2, 1, 2, 2, 0, 2, 0, 0, 2, 0, 1)"
9,3,"(0, 1, 1, 0, 2, 1, 2, 1, 2, 0, 1, 2, 2, 1, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 2, 0, 0, 0, 0, 1, 1, 1, 2, 2, 1, 2, 0, 2, 1)"
